Date,Station I (Central West Bay),Station II (East Bay),Station IV (Central Bay) ,Station V (Northern West Bay),Station VIII (South Bay) ,Station XV (San Pedro),Station XVI (Sta. Rosa),Station XVII (Sanctuary),Station XVIII (Pagsanjan) ,,mean
1/1/2016,7.3,8.2,7.8,8.7,7.7,8.3,8.8,7.9,8,,8.077777778
2/1/2016,8.4,8,7.8,8,8,8,8.2,8.3,8.1,,8.088888889
3/1/2016,8,8.3,8.1,8,7.8,8.1,8.2,8.1,7.8,,8.044444444
4/1/2016,8.7,8.5,8.7,8.9,8.5,8.3,8.3,8.6,8.7,,8.577777778
5/1/2016,8.3,8.7,8.3,8.2,8.3,8.2,8.3,8.1,9.4,,8.422222222
6/1/2016,9.4,9.3,9.6,9,9.4,8.9,9,9.3,9.4,,9.255555556
7/1/2016,8.8,9.5,9.8,8.9,9,8.1,8.7,8.8,9.6,,9.022222222
8/1/2016,8.1,8.9,8.6,8.5,9.1,8.9,8.8,8.9,8.9,,8.744444444
9/1/2016,7.8,9,9.6,8,9,8.7,9,9.4,9.4,,8.877777778
10/1/2016,7.9,9.2,8.9,7.8,8.7,7.6,7.7,8.8,9,,8.4
11/1/2016,7.9,8.55,8.65,8.1,8.5,8.3,8.1,8.8,8.7,,8.4
12/1/2016,7.9,7.9,8.4,8.4,8.3,9,8.5,8.8,8.4,,8.4
1/1/2017,8.4,8,8.3,8.1,8,8.6,8.4,8.7,7.8,,8.255555556
2/1/2017,8,7.9,7.9,8.4,7.9,8.4,7.9,8.1,7.9,,8.044444444
3/1/2017,7.9,8.4,8,7.9,8.2,8.1,8.5,8.3,8.3,,8.177777778
4/1/2017,7.7,7.8,7.8,7.9,7.8,7.8,7.8,7.9,7.8,,7.811111111
5/1/2017,8.3,6.3,8.7,7.6,8,8.3,8,8.2,8.3,,7.966666667
6/1/2017,8.6,8.2,8.3,8.1,8.4,8.3,8.4,8.5,9,,8.422222222
7/1/2017,8.2,7.9,8.6,7.7,8.1,7.9,8.3,8.1,8.5,,8.144444444
8/1/2017,8.6,8.6,9.1,8.8,9,8.7,8.5,9.2,8.6,,8.788888889
9/1/2017,8.2,8.7,9.3,7.9,8.7,8.8,8.9,8.3,8.4,,8.577777778
10/1/2017,8.2,8..3,8,8.4,9.2,7.7,9.3,8.2,8,,8.375
11/1/2017,7.8,7.9,7.7,7.6,8.1,7.7,8.2,7.9,8.1,,7.888888889
12/1/2017,7.8,7.9,7.7,7.6,8.1,7.7,8.2,7.9,8.1,,7.888888889
1/1/2018,7.9,7.7,7.9,8,7.7,8.3,8.3,8.2,8.1,,8.011111111
2/1/2018,8.2,8,8.1,8.3,8,8.7,8.7,8.7,8.1,,8.311111111
3/1/2018,8.4,8.3,8.2,8,8.2,8.3,8.2,8,8.2,,8.2
4/1/2018,7.9,8.1,8.2,8.4,8.1,8.6,8.5,8.3,8.4,,8.277777778
5/1/2018,8.5,8.1,8.1,8.7,8.3,8.4,8.5,8.3,8.3,,8.355555556
6/1/2018,8.5,9.6,8.8,8.8,8.9,9.7,8.7,8.9,9.7,,9.066666667
7/1/2018,9.7,9.1,9.4,9,8.8,8.5,8.8,8.9,9.5,,9.077777778
8/1/2018,7.9,8.7,9.1,8.6,8.5,8.5,8.6,8.9,9.2,,8.666666667
9/1/2018,9,8.7,8.7,8.5,8.9,9,9,8.8,8.8,,8.822222222
10/1/2018,8.7,8.5,8.6,8.4,8.5,8.7,8.8,8.7,8.6,,8.611111111
11/1/2018,84,8.4,8.7,8.9,7.9,8.5,8.3,8.1,8.3,,16.78888889
12/1/2018,8.6,8.5,8.4,8.9,8.2,8.7,8.8,8.8,8.8,,8.633333333
1/1/2019,8.3,7.5,7.8,8.5,7.6,8.2,7.8,8.1,7.6,,7.933333333
2/1/2019,8.8,8.3,8.4,8,8.5,8.8,9,9.2,8.2,,8.577777778
3/1/2019,8.2,8.2,8.3,8.1,8.2,8.6,8.3,8.9,8.6,,8.377777778
4/1/2019,8.9,8.4,8.2,8.4,8.4,8.9,8.5,8.1,8.5,,8.477777778
5/1/2019,9,8.7,8.4,8.7,8.3,8.5,9,8.6,9.2,,8.711111111
6/1/2019,9.4,9.1,9.2,9.3,9.3,9.4,9.4,9.3,9.2,,9.288888889
7/1/2019,8.2,9.1,8.3,7.9,7.1,8.6,8.7,8.9,9.6,,8.488888889
8/1/2019,7.8,8.3,8.3,8.3,8.6,8.4,8.5,8.5,8.1,,8.311111111
9/1/2019,8,8.5,8.1,8.8,8.7,8.4,9.1,8.9,8.6,,8.566666667
10/1/2019,8.5,8.8,8.5,8.7,8.7,8.5,8.6,9.1,8.6,,8.666666667
11/1/2019,8.5,8.9,8.8,9.5,8.7,8.2,9.2,8.7,8.9,,8.822222222
12/1/2019,7.8,7.8,8.2,8,8,9,7.8,8.2,7.8,,8.066666667
1/1/2020,8,8.2,7.9,8.2,8.2,8.1,8.3,8.3,7.7,,8.1
2/1/2020,8,8.2,8.2,8.3,8.2,8.2,8.6,8.4,7.9,,8.222222222
3/1/2020,8.7,8.7,8.6,8.8,8.7,8.8,8.7,8.8,8.6,,8.711111111
4/1/2020,8.716666667,8.7,8.55,8.85,8.716666667,8.7,8.75,8.8,8.533333333,,8.701851852
5/1/2020,8.733333333,8.7,8.5,8.9,8.733333333,8.6,8.8,8.8,8.466666667,,8.692592593
